id	1EcEiA_YwlM
published	2020-10-16 17:09:03
published_unix	1602868143
title	Senator Kamala Harris questions Amy Coney Barrett on climate change
description	During Senate confirmation hearings on Wednesday, Senator Kamala Harris asked Supreme Court nominee Amy Coney Barrett about her views on climate change. Barrett called it "very contentious matter of public debate." Watch their exchange.
channelId	UC8p1vwvWtl6T73JiExfWs1g
channelTitle	CBS News
duration	PT3M29S
dimension	2d
definition	hd
caption	false
allowedIn	
blockedIn	AU,CA,JP
licensedContent	1
viewCount	27798
likeCount	265
dislikeCount	146
favoriteCount	0
commentCount	271
uploadStatus	processed
privacyStatus	public
license	youtube
embeddable	1
publicStatsViewable	1
