id	replyCount	likeCount	publishedAt	authorName	text	authorChannelId	authorChannelUrl	isReply	isReplyTo	isReplyToName
UgiK-g4YyPBFMXgCoAEC	228	2802	2014-12-08 23:09:58	Erik	Ah, if only facts convinced people of stuff.	UCe6F8U2ItahzcJQMiQZbS9A	http://www.youtube.com/channel/UCe6F8U2ItahzcJQMiQZbS9A	0		
UgiK-g4YyPBFMXgCoAEC.7-H0Z7-CNQY9HJqnb9uYfA		0	2020-12-16 06:47:15	Domel Dsouza	@haiggoh me too	UCkKzKuB2GrJsoLDK3RFw1WA	http://www.youtube.com/channel/UCkKzKuB2GrJsoLDK3RFw1WA	1	UgiK-g4YyPBFMXgCoAEC	Erik
UgiK-g4YyPBFMXgCoAEC.7-H0Z7-CNQY9Ex0MEc_MFQ		0	2020-10-18 07:34:56	Lorenzo Blum	The carbon footprint of the military industrial complex https://youtu.be/oMozyspFuBM 🙊 https://watershedsentinel.ca/articles/the-militarys-carbon-bootprint 🙉 https://youtu.be/cw2Wm8T6tio 🙉 https://www.athena21.org/in-english 😱 https://youtu.be/LLCF7vPanrY Thanks for sharing	UCsYupKQPnWV7J3FUsGGwyEA	http://www.youtube.com/channel/UCsYupKQPnWV7J3FUsGGwyEA	1	UgiK-g4YyPBFMXgCoAEC	Erik
UgiK-g4YyPBFMXgCoAEC.7-H0Z7-CNQY9BhUXkplHjW		0	2020-07-29 17:16:37	andrew williams	NASA Goddard Institute (GISS) and NOAA constantly adjust the same temperature data to produce the bogus warming graphs. It's fraudulent and bogus science. 97% of scientist do NOT agree with this climate alarmism. See link https://www.youtube.com/watch?v=xMc1o2tUBds&list=PLMKArUNnG--eA3_hY1YT1dzFifvrHYoY3&index=4 also see why climate alarmism is ridiculous: https://www.youtube.com/watch?v=Gh-DNNIUjKU	UC-nUB8CP1MF1xXk_IJYi_8w	http://www.youtube.com/channel/UC-nUB8CP1MF1xXk_IJYi_8w	1	UgiK-g4YyPBFMXgCoAEC	Erik
UgiK-g4YyPBFMXgCoAEC.7-H0Z7-CNQY9AxxuZg6Gg3		0	2020-07-11 06:18:28	The White Raven	It really should	UCOaZ-PTDaTDmLipzH8Nsl6w	http://www.youtube.com/channel/UCOaZ-PTDaTDmLipzH8Nsl6w	1	UgiK-g4YyPBFMXgCoAEC	Erik
UgiK-g4YyPBFMXgCoAEC.7-H0Z7-CNQY9AD1WnDwEyw		0	2020-06-22 15:35:14	Lee Hitt	@nmlss Some of them DO believe in climate change but believe it's part of the Biblical plan. Have you read the book of Revelation?	UCi5MMWQxoHB-OhSMm3skzTA	http://www.youtube.com/channel/UCi5MMWQxoHB-OhSMm3skzTA	1	UgiK-g4YyPBFMXgCoAEC	Erik
UgiK-g4YyPBFMXgCoAEC.7-H0Z7-CNQY94d_X8O8X34		0	2020-02-05 05:12:15	John Tech	@It's Okay To Be Smart Environmentalism has been hijacked. Awareness is spreading... Rosa Koire exposes UN Agenda 21 2030 https://youtu.be/rqMe1DH3qrU	UCtaY5W_byevS-O5fzn5vu4Q	http://www.youtube.com/channel/UCtaY5W_byevS-O5fzn5vu4Q	1	UgiK-g4YyPBFMXgCoAEC	Erik
UgiK-g4YyPBFMXgCoAEC.7-H0Z7-CNQY94a5GQLdIKY		1	2020-02-03 20:41:21	dontaskme	Watch this video, "The Great Global Warming Swindle." It's backed by real scientists not paid off to lie about global warming. Actually man does have very little to do with it compared to what nature itself does.	UCFoj2f313uySrcyQ79bg4VA	http://www.youtube.com/channel/UCFoj2f313uySrcyQ79bg4VA	1	UgiK-g4YyPBFMXgCoAEC	Erik
UgiK-g4YyPBFMXgCoAEC.7-H0Z7-CNQY947Oq-V_NcR		0	2020-01-23 07:55:10	John Tech	@It's Okay To Be Smart https://youtu.be/rqMe1DH3qrU	UCtaY5W_byevS-O5fzn5vu4Q	http://www.youtube.com/channel/UCtaY5W_byevS-O5fzn5vu4Q	1	UgiK-g4YyPBFMXgCoAEC	Erik
UgiK-g4YyPBFMXgCoAEC.7-H0Z7-CNQY93ljYOU8eo8		0	2020-01-14 12:42:19	Icy Uranus	@It's Okay To Be Smart fact is that humans have practically no data from the past 1 million years, let alone beyond that. you cannot even track it past a few hundred years. paying al gore is not going to change anything. climate changes with and without people it is a cycle. facts.	UC68JzpjYJ1lnpph8r-wAxUg	http://www.youtube.com/channel/UC68JzpjYJ1lnpph8r-wAxUg	1	UgiK-g4YyPBFMXgCoAEC	Erik
