id	w_DTa0H024A
published	2020-10-15 01:16:45
published_unix	1602724605
title	Watch what happened when Harris asked Barrett about climate crisis
description	Democratic vice presidential candidate Kamala Harris questioned Supreme Court nominee Amy Coney Barrett about the climate crisis, but Barrett refused to say that climate change was a threat despite ample scientific evidence. #CNN #News
channelId	UCupvZG-5ko_eiXAupbDfxWw
channelTitle	CNN
duration	PT9M10S
dimension	2d
definition	hd
caption	true
allowedIn	
blockedIn	
licensedContent	1
viewCount	3063868
likeCount	29084
dislikeCount	14095
favoriteCount	0
commentCount	26795
uploadStatus	processed
privacyStatus	public
license	youtube
embeddable	1
publicStatsViewable	1
