id	replyCount	likeCount	publishedAt	authorName	text	authorChannelId	authorChannelUrl	isReply	isReplyTo	isReplyToName
Ugzoun192bZvxWR38g14AaABAg	0	0	2021-03-20 04:12:51	rudi perandis-wyatt	Why don&#39;t you talk about the pollution from countries like China and India?	UCeP9b-t67B020Yue2Kzj_ug	http://www.youtube.com/channel/UCeP9b-t67B020Yue2Kzj_ug	0		
Ugw6UR9GDlsPOZICK9B4AaABAg	0	0	2021-03-19 11:33:06	Martin Rypl	It is true that little change can help, but still when you buy steak or chicken once a week someone can still make and build business thanks to that. I mean we are facing huge problems connected to climate and this way of change of course could twist the cards but in the range of many year. We need change RIGHT NOW!	UCWjU4COVxXRGElFjGz3jlkg	http://www.youtube.com/channel/UCWjU4COVxXRGElFjGz3jlkg	0		
UgyXxuvPh72EiWoL8u54AaABAg	0	0	2021-03-19 09:31:51	Go to a happy place	&quot;the answer to co2 is plant more trees&quot; <br /> <br />- David Attenbrah	UCI3w06PKCCbdk-_wFVTYMTg	http://www.youtube.com/channel/UCI3w06PKCCbdk-_wFVTYMTg	0		
UgwqSH271nx6GWWQxgR4AaABAg	0	0	2021-03-19 03:59:03	Cauli Flower	Don&#39;t wanna mean hate but it&#39;s mostly westerners that eat too much beef.	UCs_n8VJlG2m7jWBjynZ2Jlw	http://www.youtube.com/channel/UCs_n8VJlG2m7jWBjynZ2Jlw	0		
Ugwi8QwYnoCLtZXQ66t4AaABAg	0	0	2021-03-19 01:07:16	Lindiwe Ngwevela	Can we own up to the fact that 100 gas, mining, and large scale agricultural companies are responsible for well over two thirds of the negative impact on our planet? Individuals cutting down on meat, recycling, and driving an electric car will make a dent on that impact. But switching to renewable energy is the thing that&#39;s REALLY going to make a difference. Not you doing Meatless Mondays. <br />I totally advocate cutting down on animal products for health, climate, and even ethical reasons (whatever makes sense to you). In some places, people eat WAY too much animal, and not enough plant food sources. I know it&#39;s hard for me to travel to certain places cause it&#39;s so hard to find vegan or vegetarian options at restaurants and hotels that aren&#39;t green salad. So I&#39;m glad to see that it&#39;s becoming more mainstream, compelling places to provide more choices.	UCgqKw_5Epe3aOWlVKfS_SEA	http://www.youtube.com/channel/UCgqKw_5Epe3aOWlVKfS_SEA	0		
UgwatZZ-4Wl_K2BvZPR4AaABAg	0	1	2021-03-17 23:25:04	Bailey Shay	“You don’t have to go vegan to fight climate change.” Exactly why our species is going to go extinct. We are too concerned with our own convenience &amp; selfish desires and not concerned enough with the fate of the planet and the other millions of species that we share it with. This is a huge fail.	UClYFTDsmOYIH_qj2Ihc-xzg	http://www.youtube.com/channel/UClYFTDsmOYIH_qj2Ihc-xzg	0		
Ugz1AiBZJlYA2kLXrRx4AaABAg	0	1	2021-03-17 04:11:21	Axolt	I&#39;m still waiting for meat that&#39;s made out of vegetables to be everywhere	UCpRbla-rTDVH75uPRnxvNqw	http://www.youtube.com/channel/UCpRbla-rTDVH75uPRnxvNqw	0		
Ugw92XPuTLo5G8VGf054AaABAg	0	0	2021-03-17 03:30:55	CM Game23	Kita miskin, kita g mkn daging	UC2BAF2g3hP_6ShSlmEeQOIg	http://www.youtube.com/channel/UC2BAF2g3hP_6ShSlmEeQOIg	0		
UgyN6W9lSLeCgzK9sml4AaABAg	0	0	2021-03-16 13:52:09	Karen Fairholm	Well said, it doesn&#39;t have to be all or nothing but every plant based meal helps.	UC7t3QtALEDMMCXzyzORhfxg	http://www.youtube.com/channel/UC7t3QtALEDMMCXzyzORhfxg	0		
Ugy0aT0DBT099oXmjMt4AaABAg	0	0	2021-03-16 11:09:42	Quarx _TD	POV: your teacher sent you here	UC_KTwqotMh2ANTe8JUY4Afg	http://www.youtube.com/channel/UC_KTwqotMh2ANTe8JUY4Afg	0		
UgwJ_4BuMsJJtosFb4d4AaABAg	0	0	2021-03-14 04:55:19	Dystopian T-Rex	Go Vegan. It&#39;s the Best decision you will ever make.	UC-GtAYHvVUsMb1j_4-e6HmQ	http://www.youtube.com/channel/UC-GtAYHvVUsMb1j_4-e6HmQ	0		
UgwonsrwsKfoLSIeLy94AaABAg	0	0	2021-03-13 08:36:47	zachary lynn	Those numbers are really outdated, its way more than that. It&#39;s ridiculous	UCgs9ymvO_jvzbO01l6HWFew	http://www.youtube.com/channel/UCgs9ymvO_jvzbO01l6HWFew	0		
UgywofFqWM9t2aXH7Jd4AaABAg	0	0	2021-03-13 03:41:31	Maenad	disappointed in the lack of mention of organic food &amp; how the increase in calorie consumption has made a huge impact	UCGlxdTZ3IjX0shBL7aal0Pw	http://www.youtube.com/channel/UCGlxdTZ3IjX0shBL7aal0Pw	0		
UgyTXSQwFWN-wdJuIWJ4AaABAg	0	0	2021-03-11 05:59:57	Abhimanyu Mukherji	Diet for climate does not equate to good health. Feed the cows grass... take out the grains for humans and cattle. Its actually not good for either species. Also the key is population control at the end of the day! Palm oil production leads to clearing forests and green covers and yet its meat which is the problem?	UCmNg3LJaNj10eIK49gOkRcQ	http://www.youtube.com/channel/UCmNg3LJaNj10eIK49gOkRcQ	0		
Ugzbp9O-m9zGOTWo4uR4AaABAg	0	0	2021-03-10 22:52:51	Eva Tovar	Where can we find the sources, please??	UCuoGsbAqtOKdrKUyhQxphyg	http://www.youtube.com/channel/UCuoGsbAqtOKdrKUyhQxphyg	0		
UgzJeTdcnEVnJrcatHZ4AaABAg	0	0	2021-03-09 14:28:15	centigradz	Asian Americans and British Asians should not consume too much red meat. They have the highest number of cancers compared to og Asians. Red meat is meant for white ppl. Immigrant Asians should not b consuming it. Even their BMI cut offs are lower.	UCbTUmVJ_E7BhFajnAoy0Z6Q	http://www.youtube.com/channel/UCbTUmVJ_E7BhFajnAoy0Z6Q	0		
Ugxp7GhbD_pn3VMpznZ4AaABAg	0	0	2021-03-09 04:19:00	M B	Montana!!!??? Ahhh	UC6uj4SRExrWTPF16Gc8Sybg	http://www.youtube.com/channel/UC6uj4SRExrWTPF16Gc8Sybg	0		
