id	replyCount	likeCount	publishedAt	authorName	text	authorChannelId	authorChannelUrl	isReply	isReplyTo	isReplyToName
Ugx5n_VjnqbqxTYW0X54AaABAg	1	18	2019-11-30 17:54:19	IanAzurite	When deniers are so dumb you have to use EMOJIS	UClf6mn-apCjMrNn5Vo8gnvw	http://www.youtube.com/channel/UClf6mn-apCjMrNn5Vo8gnvw	0		
Ugx5n_VjnqbqxTYW0X54AaABAg.91yQU5QQfni9Ja75dtTbHN		0	2021-02-10 16:48:16	Anime King	Hahaah omg 😂😂😂	UCqYJNg-2GvdoulbZvrt0lbA	http://www.youtube.com/channel/UCqYJNg-2GvdoulbZvrt0lbA	1	Ugx5n_VjnqbqxTYW0X54AaABAg	IanAzurite
UgiekFCSueklS3gCoAEC	4	128	2015-06-24 01:44:54	LisaMarieWW Angel	Bill Nye shouldn&#39;t have to compete with the background music. Fix it	UCWFO_xOXWDVFNKUxUlNfn4g	http://www.youtube.com/channel/UCWFO_xOXWDVFNKUxUlNfn4g	0		
UgiekFCSueklS3gCoAEC.80lJlLnssTd7-WNqwE68Gh		3	2015-06-30 00:57:03	LisaMarieWW Angel	@JoJoGunn1956 get off my thread moron	UCWFO_xOXWDVFNKUxUlNfn4g	http://www.youtube.com/channel/UCWFO_xOXWDVFNKUxUlNfn4g	1	UgiekFCSueklS3gCoAEC	LisaMarieWW Angel
UgiekFCSueklS3gCoAEC.80lJlLnssTd7-Ri1Dg8qrT		2	2015-06-28 05:25:53	No Newfriends	@LisaMarieWW Angel editor must not know what an audio filter and EQ are.	UCFKHX5kt1hC1pSqwlRwTqiQ	http://www.youtube.com/channel/UCFKHX5kt1hC1pSqwlRwTqiQ	1	UgiekFCSueklS3gCoAEC	LisaMarieWW Angel
UgiekFCSueklS3gCoAEC.80lJlLnssTd7-Ly5k7E7Ic		4	2015-06-25 23:50:53	Whereabouts Unknown	Yeah the bg music is a bit louder than it should be huh	UCw8IROwr_DzuUJd-Pr1pZ0Q	http://www.youtube.com/channel/UCw8IROwr_DzuUJd-Pr1pZ0Q	1	UgiekFCSueklS3gCoAEC	LisaMarieWW Angel
UgiekFCSueklS3gCoAEC.80lJlLnssTd7-JVEPzx07k		6	2015-06-25 00:51:26	Cody Ferrell	@LisaMarieWW Angel Seriously. haha Wtf was the editor thinking?	UCNJBGolnceh1oXVifsL80oQ	http://www.youtube.com/channel/UCNJBGolnceh1oXVifsL80oQ	1	UgiekFCSueklS3gCoAEC	LisaMarieWW Angel
Ughk795wjypdcXgCoAEC	0	16	2015-06-24 08:20:58	marla singer	And yes, the bg music is WAY too loud and it sucks!	UC-TZyUilm8VcQRKAT2LpQ-w	http://www.youtube.com/channel/UC-TZyUilm8VcQRKAT2LpQ-w	0		
Ugh4Yl3LAQCB4HgCoAEC	0	7	2015-06-24 02:11:53	V B	Musk comes for rescue :)<br />breathe on everybody :D	UCSxpH8CV1eP0dLtBAK0Ei6w	http://www.youtube.com/channel/UCSxpH8CV1eP0dLtBAK0Ei6w	0		
UginctAuYp72U3gCoAEC	0	9	2015-07-01 19:25:54	GreenSlugg	Ok, so I started off watching this video wondering &quot;How is he going to explain climate change in under two minutes?&quot; And then I watched it to find out... he didn&#39;t really explain climate change.	UCTUHy6LFpge-PxPCVGYwSLA	http://www.youtube.com/channel/UCTUHy6LFpge-PxPCVGYwSLA	0		
Ugz8RU541D_7MA0Rzgh4AaABAg	0	3	2018-04-08 23:28:54	Chino780	Bil Nye The &quot;completely full if shit&quot; Guy.	UCqxe6-xx86o48gVB2vs5MzQ	http://www.youtube.com/channel/UCqxe6-xx86o48gVB2vs5MzQ	0		
UgzSSgjCIQfmZcHBMst4AaABAg	1	6	2019-05-20 05:08:09	godonlyknows13	You know you&#39;re in trouble when the smartest minds of your time feel the need to explain science to you using emojis...	UCv5x_vL_s7ahVGRCOB4SVWw	http://www.youtube.com/channel/UCv5x_vL_s7ahVGRCOB4SVWw	0		
UgzSSgjCIQfmZcHBMst4AaABAg.8v8W_lpJLK79087nHiqmtm		2	2019-10-16 04:39:54	Luis Medina	You know you're in trouble when you believe Bill Nye is actually smart.	UCLD_vqJjd9CW-TSdyQr5qyQ	http://www.youtube.com/channel/UCLD_vqJjd9CW-TSdyQr5qyQ	1	UgzSSgjCIQfmZcHBMst4AaABAg	godonlyknows13
UgyLPAxHRgDWCJiCqnB4AaABAg	10	6	2018-04-05 03:09:53	NotMeta	Throughout all of history Co2 has never dictated temperature, it&#39;s been the complete opposite. There has been a few hundred year lag between temperatures rising and Co2 levels rising. Between 1940 and 1975 there was an economic boom, causing more Co2 to be pumped in the atmosphere due to mass production, yet the temperature over these 3 decades was decreasing. Also, assuming that human breathing will have a drastic affect on Co2 levels is laughable.	UCK9mbWWPsG-HXj_hg7w6zKQ	http://www.youtube.com/channel/UCK9mbWWPsG-HXj_hg7w6zKQ	0		
UgyLPAxHRgDWCJiCqnB4AaABAg.8eda7jwwMDB8g2UlYVpraD		0	2018-05-10 01:05:55	NotMeta	Actually this is where i know that you don't climate change at all. The correct terminology is scientific american journal not simply "scientific american", i was playing dumb in order to have a crack at humour that obviously went over your head. You also prove to be unknowledgeable. It is a basic flaw of fundamental science to state that temperature rise is caused by Co2. They're trying to change fundamental science to fulfill their needs. Remember in the 70s when these "scientists" (many of which are still scientists today) were shitting themselves about the next ice age, just because of a couple decades in temperature drop. Because nowadays science has become a business.	UCK9mbWWPsG-HXj_hg7w6zKQ	http://www.youtube.com/channel/UCK9mbWWPsG-HXj_hg7w6zKQ	1	UgyLPAxHRgDWCJiCqnB4AaABAg	NotMeta
UgyLPAxHRgDWCJiCqnB4AaABAg.8eda7jwwMDB8g1SxVIm4Vl		0	2018-05-09 15:30:50	righthandstep5	NotMeta this is where I know you don't know climate change at all. Scientific American is a journal online you fool. There is such a thing and you prove to be unknowledgeable. They like the IPCC state that CO2 comes before temperature rise.	UCYpW4V-z3VF97JNgXBc8oqw	http://www.youtube.com/channel/UCYpW4V-z3VF97JNgXBc8oqw	1	UgyLPAxHRgDWCJiCqnB4AaABAg	NotMeta
UgyLPAxHRgDWCJiCqnB4AaABAg.8eda7jwwMDB8g0lQFoelE2		2	2018-05-09 09:01:41	NotMeta	Incorrect. You are flat out incorrect, "scientific american" isn't a thing. There are american scientists. Co2 comes after temperature rise.	UCK9mbWWPsG-HXj_hg7w6zKQ	http://www.youtube.com/channel/UCK9mbWWPsG-HXj_hg7w6zKQ	1	UgyLPAxHRgDWCJiCqnB4AaABAg	NotMeta
UgyLPAxHRgDWCJiCqnB4AaABAg.8eda7jwwMDB8g0cvQb7v0V		0	2018-05-09 07:47:26	righthandstep5	NotMeta no scientific journal corresponds to what you are stating. You are flat out wrong and scientific American would agree. CO2 does come before temperature rise	UCYpW4V-z3VF97JNgXBc8oqw	http://www.youtube.com/channel/UCYpW4V-z3VF97JNgXBc8oqw	1	UgyLPAxHRgDWCJiCqnB4AaABAg	NotMeta
UgyLPAxHRgDWCJiCqnB4AaABAg.8eda7jwwMDB8g0cf_QbiFu		1	2018-05-09 07:45:16	NotMeta	Wrong. Co2 does not precedes the temperature changes. There are various journals that go in depth to explain this. What you're trying to state is astronomically incorrect.	UCK9mbWWPsG-HXj_hg7w6zKQ	http://www.youtube.com/channel/UCK9mbWWPsG-HXj_hg7w6zKQ	1	UgyLPAxHRgDWCJiCqnB4AaABAg	NotMeta
UgyLPAxHRgDWCJiCqnB4AaABAg.8eda7jwwMDB8g0ZSiSY0F_		0	2018-05-09 07:08:26	righthandstep5	NotMeta untrue. CO2 precedes temperature rise and fall. There are so many journals that cover thus topic in greater detail. What you stated is flat out wrong and not remotely accurate.	UCYpW4V-z3VF97JNgXBc8oqw	http://www.youtube.com/channel/UCYpW4V-z3VF97JNgXBc8oqw	1	UgyLPAxHRgDWCJiCqnB4AaABAg	NotMeta
UgyLPAxHRgDWCJiCqnB4AaABAg.8eda7jwwMDB8g0ZB8OZj00		1	2018-05-09 07:06:01	NotMeta	But Co2 is correlated with temperature (with a few hundred year lag of course) not the other way around.	UCK9mbWWPsG-HXj_hg7w6zKQ	http://www.youtube.com/channel/UCK9mbWWPsG-HXj_hg7w6zKQ	1	UgyLPAxHRgDWCJiCqnB4AaABAg	NotMeta
UgyLPAxHRgDWCJiCqnB4AaABAg.8eda7jwwMDB8g0W9ocZ8dd		0	2018-05-09 06:39:38	righthandstep5	NotMeta you saying it hasn't doesn't mean it's true. Scientific studies and journals published state you are wrong. 97 percent of scientists agree CO2 burned by our use of fossil fuels is causing a warm up unseen since the Permian mass extinction.	UCYpW4V-z3VF97JNgXBc8oqw	http://www.youtube.com/channel/UCYpW4V-z3VF97JNgXBc8oqw	1	UgyLPAxHRgDWCJiCqnB4AaABAg	NotMeta
UgyLPAxHRgDWCJiCqnB4AaABAg.8eda7jwwMDB8g0VJ9MBDOl		1	2018-05-09 06:32:10	NotMeta	No it hasn't	UCK9mbWWPsG-HXj_hg7w6zKQ	http://www.youtube.com/channel/UCK9mbWWPsG-HXj_hg7w6zKQ	1	UgyLPAxHRgDWCJiCqnB4AaABAg	NotMeta
UgyLPAxHRgDWCJiCqnB4AaABAg.8eda7jwwMDB8g0OMgzxAGN		1	2018-05-09 05:31:29	righthandstep5	NotMeta you are wrong and don't know climate science. Welcome to the Permian. CO2 has altered climate for 100s of millions of years fyi.	UCYpW4V-z3VF97JNgXBc8oqw	http://www.youtube.com/channel/UCYpW4V-z3VF97JNgXBc8oqw	1	UgyLPAxHRgDWCJiCqnB4AaABAg	NotMeta
Ugg9WFxU8UCVKXgCoAEC	0	0	2015-06-30 00:26:27	Joshua Fontaine	This video calmed me down. Thanks Bill :)	UCpY9nGOJ5A98MtBKoHsQ1Ww	http://www.youtube.com/channel/UCpY9nGOJ5A98MtBKoHsQ1Ww	0		
